New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,ffffff
120,Black,120,Black,120,Black,120,Black,000000
B03,Frost,B030,Frost Blue,B996,Frost Blue,,,bedbe5
B04,Pale Cyan,B040,Baby Blue,,,,,b3dbe5
B05,Robin Egg Blue,B050,Robin's Egg Blue,,,,,a6d9e7
B09,Tahitian Blue,B070,Tahitian Blue,,,,,56bdd7
B112,Process Blue,B080,Process Blue,B683,Process Blue,,,259ac6
B015,Celadon Blue,B090,Pebble Blue,,,,,2580a7
B06,Light Cerulean,B110,Crystal Blue,,,,,86d4e7
BV35,Arctic Blue,B120,Pale Blue,B193,Pale Blue,,,accce3
BV58,Crystal Blue,B140,Aquamarine,,,,,81c6e9
BV45,Pale Hyacinth,B150,Phthalo Blue,,,,,94bde2
BV39,Pale Cerulean Blue,B170,Hyacinth,,,,,6596cc
BV311,Royal Blue,B180,Vienna Blue,B672,Vienna Blue,,,2471b8
BV312,Deep Royal Blue,B190,Ultramarine,B878,Ultramarine,,,2670b7
BV32,Pale Sky Blue,B220,Pale Grayish Blue,,,,,d5e9f2
B28,Smoke Blue,B250,Light Blue,B190,Light Blue,,,a4cce1
BV48,Distressed Denim,B260,Smoky Blue,B291,Smoky Blue,,,97b4cf
BV414,Denim Blue,B270,Vivid Blue,B383,Vivid Blue,,,6e98b7
BV415,Antwerp,B290,Antwerp Blue,B563,Antwerp Blue,,,4d88a9
BV515,Navy,B300,Marina,,,,,546e90
BV05,Cornflower,B340,Lavender Blue,B287,Lavender Mist,,,9bc0e6
BV08,Havelock Blue,B350,Cornflower Blue,,,,,7ca7d5
BV013,French Ultramarine,B380,Capri Blue,B572,Capri Blue,,,4867b1
BV015,Deep Ultramarine,B440,Cyanine Blue,,,,,4e60ac
B114,Cerulean Blue,B64,Indian Blue,B860,Indian Blue,B860,Indian Blue,2d6e9c
BGY00,Cashmere Grey,BG050,Cool Grey 05,BG050,Cool Grey 050,,,d0d8d9
GG11,Fog Grey,BG060,Deep Cool Grey,BG043,Cool Grey 043,BG043,Cool Grey 043,b5b9be
GG12,Pastel Icy Grey,BG070,Cool Grey 07,BG080,Cool Grey 080,,,a6b6bd
G315,Dark Emerald,BG1,Turquoise Green,G950,Turquoise Green,G950,Turquoise Green,004b26
G316,Deep Jade Green,BG2,Deep Green,G840,Deep Green,G840,Deep Green,44756b
BV31,Cloud Blue,BG3,Blue Grey 3,MG011,Blue Grey 011,MG011,Blue Grey 011,e0eef4
B02,Light Minty Blue,BG4,Mint Blue,,,,,bee5e8
G013,Muted Turquoise,BG5,Dolphin Blue,,,,,7cb1b0
BG314,Peacock Green,BG6,Peacock Green,G862,Peacock Green,G862,Peacock Green,2b948e
BG05,Light Sea Blue,BG68,Turquoise Blue,G191,Turquoise Blue,G191,Turquoise Blue,9dd9dc
BG315,Castleton Green,BG7,Forest Green,G850,Forest Green,G850,Forest Green,408982
BG215,Dark Pine Green,BG8,Teal,,,,,2d9581
BGY02,Pigeon Grey,BG9,Pigeon Blue,,,,,b0bec3
B310,Blue Dusk,BGⅡ03,Blue Grey II 3,MG031,Blue Grey 031,MG031,Blue Grey 031,a6c1cc
B411,Rich Slate Blue,BGⅡ05,Blue Grey II 5,MG069,Blue Grey 069,MG069,Blue Grey 069,7897a7
B415,Stormy Night,BGⅡ09,Blue Grey II 9,MG170,Blue Grey 170,MG170,Blue Grey 170,53606c
E415,Cedar Brown,BR1,Raw Umber,E557,Raw Umber,E557,Raw Umber,704123
YR313,Potato Brown,BR2,Potato Brown,E763,Potato Brown,E763,Potato Brown,a6552a
YR57,Tropical Peach,BR208,Black Brown,YR296,Black Brown,,,ee8354
YR39,Cinnamon,BR3,Rose Beige,E287,Rose Beige,E287,Rose Beige,ffaa9a
CG01,Cloud Grey,CG020,Neutral Grey 02,,,,,eaeaeb
CG02,Light Grey,CG030,Neutral Grey 03,,,,,e0e4e8
CG24,Grey,CG050,Neutral Grey 05,,,,,b2b8bb
CG28,Web Grey,CG070,Neutral Grey 07,CG070,Neutral Grey 070,,,7e848b
GG10,Soft Cool Grey,CG2,Cool Grey II 2,BG042,Cool Grey 042,BG042,Cool Grey 042,ced0d2
CG17,Cool Grey,CG5,Cool Grey II 5,BG081,Cool Grey 081,,,9aa3ac
WG10,Porcelain,CGⅡ00,Cool Grey II 0,BG038,Cool Grey 038,,,efedef
CG18,Icy Grey,CGⅡ04,Cool Grey II 4,,,,,97a2ab
BGY24,Storm Grey,CGⅡ07,Cool Grey II 7,BG083,Cool Grey 083,BG083,Cool Grey 083,75828c
BGY25,Cracked Pepper,CGⅡ08,Cool Grey II 8,,,,,6f7883
BGY35,Iron Grey,CGⅡ09,Cool Grey II 9,,,,,6a707a
YR00,Barely Blush,E010,Pale Fruit Pink,,,,,ffe1d3
YR05,Cotton Pearl,E020,Cotton Pearl,,,,,ffd1b8
YR45,Rosewater,E030,Pink Flamingo,,,,,ffd0c5
E85,Cherry Taupe,E050,Lipstick Natural,E183,Lipstick Natural,,,c38379
E610,Light Mahogany,E060,Light Mahogany,,,,,a14b23
YR214,Terracotta,E070,Brown,E686,Brown,,,df8574
YR215,Aged Cherry Wood,E080,Praline,,,,,953b0f
YR06,Raw Cashew,E090,Eggshell White,,,,,fbd2bc
YR312,Light Earth Brown,E110,Dark Suntan,,,,,cc8e76
E69,Russet Brown,E120,Reddish Brown,E373,Reddish Brass,,,b27a6f
E614,Maple Syrup,E130,Copper,,,,,8d6660
E44,Soft Sand,E160,Soft Sun,,,,,f6d3b4
E58,Fawn Brown,E170,Caribe Cocoa,,,,,c39886
Y69,Milk Tea,E210,Brick Beige,,,,,e0c3a6
E46,Coral Sand,E220,Sand,,,,,ecb796
Y413,Fawn,E240,Chamois,,,,,d2a17f
YR314,Sandalwood,E260,Leather,,,,,a97461
Y62,Sandy Beige,E280,Sand White,,,,,f7e5d3
E311,Sandbar Brpwn,E300,Clay,,,,,af9e89
E413,Dark Brown,E310,Dark Brown,E460,Dark Brown,,,9a7d72
YR01,Milk White,E330,Milky White,,,,,faecdb
Y515,Light Walnut,E370,Light Walnut,,,,,b48670
E92,Ash Rose,E380,Ash Rose,,,,,ddccc6
E97,Deep Rose Grey,E400,Cocoa Brown,,,,,bca09b
E914,Bark Brown,E430,Pecan,,,,,816867
E06,Bog Mist Geen,E432,Vert Celadon,,,,,d5d0bd
E011,Pale Camo Green,E434,Dragon Well Tea,,,,,a7a696
E211,Light Elm Wood,E440,Khaki,,,,,cfb38c
E313,Swamp Mud,E450,Fennel Seed,,,,,8d7a67
E314,Military Olive,E460,Military Olive,,,,,78685e
YR55,Pink Lemonade,E470,Tea Rose,,,,,f2c5bb
Y412,Apple Cider,E490,Deep Orange,,,,,e4a884
FY00,Fluorescent Yellow,FY010,Fluorescent Yellow,FY010,Fluorescent Yellow,,,efff59
FY01,Fluorescent Orange,FY020,Fluorescent Orange,FY020,Fluorescent Orange,,,ff8a28
FY02,Fluorescent Red,FY030,Fluorescent Red,FY030,Fluorescent Red,,,ff5972
FY03,Fluorescent Violet,FY050,Fluorescent Violet,FY050,Fluorescent Violet,,,6a29ff
Y14,Pale Lemon Yellow,G020,Pale Lemon Yellow,G195,Pale Lemon Yellow,,,eff0a1
Y03,Pastel Yellow,G030,Crescent Yellow,G193,Crescent Yellow,,,f5f3c4
YG07,Honeydew Melon,G050,Celadon Green,G291,Celadon Green,,,d9dc93
YG111,Celery,G060,Celery Yellow,G292,Celery Yellow,,,e1d791
YG112,Lemon Lime,G070,Lemon Green,G495,Lemon Green,,,dfd478
YG113,Pear Green,G080,Limeade,,,,,cec55f
G312,Emerald Green,G1,Emerald Green,G750,Emerald Green,G750,Emerald Green,13904d
G41,Peppermint,G110,Mignonette,G796,Mignonette,,,d4ead0
G34,Pale Green,G120,Yellowish Green,G794,Yellowish Green,,,c8e5c9
YG66,Fresh Green,G130,Acid Green,G299,Acid Green,,,cce3ae
G47,Spring Green,G140,Horseradish,G189,Horseradish,,,a4d49a
G48,Lettuce,G150,Lettuce Green,,,,,89c589
YG610,Bright Lime,G170,May Green,G494,May Green,,,99cd69
YG611,Mantis Green,G190,Olive Green,,,,,8dc169
G310,Shamrock Green,G2,Vivid Green,G472,Vivid Green,G472,Vivid Green,6bb180
E05,Pale Moss,G220,Lime Green,,,,,dee4cb
YG35,Fog Green,G230,Willow,,,,,bccbac
YG36,Beige Green,G240,Beige Green,,,,,b7c4a5
YG29,Apple Green,G260,Apple Green,G287,Apple Green,,,b5c083
YG312,Artichoke Green,G270,Moss,,,,,a7b98b
G311,Jade Green,G3,Ocean Green,,,,,5fbf8d
YG215,Thatch Green,G300,Dark Olive,G536,Dark Olive,,,8d8670
BG21,Mint Whisp,G320,Jade Green,,,,,e2f1e7
BG04,Sea Spray,G322,Pale Aqua Mint,,,,,b1dee2
BG19,Sea Blue,G324,Aqua Blue,,,,,86d0d0
BG09,Aquamarine,G326,Bright Blue,,,,,83cfce
G012,Mineral Green,G330,Mineral Green,,,,,9abeb6
BG310,Seafoam Green,G340,Horizon Green,G190,Horizon Green,,,a6dbd2
BG211,Spearmint,G360,Pond Green,G382,Pond Green,,,76c8ae
G313,Green,G390,Green,,,,,3e8969
BG212,Bright Pine Green,G4,Mint Green Light,G473,Mint Green Light,,,38b999
G24,Celadon,G410,Light Holly Green,G493,Light Holly Green,,,bdd0bf
BG24,Sea Glass Blue,G420,Green Shadow,G786,Green Shadow,,,bde1cd
G44,Sea Glass Green,G440,Leaf Green,G185,Leaf Green,,,b8ddba
YG413,Fern Green,G470,Pine Tree Green,,,,,7c9e76
G210,Sea Green,G490,Viridian Green,G370,Viridian,,,7cb79d
G114,Aged Pine Green,G5,Turquoise Ink Blue,,,,,68988e
BG011,Teal,G500,Peacock Blue,,,,,1db7b7
G113,Dusty Jade Green,G6,Dusty Jade Green,,,,,71a798
YG415,Cascade Green,G7,Chromium Oxide Green,,,,,63756d
G36,Glass Green,G8,Glass Green,,,,,9adea3
G112,Pale Cobalt Green,G9,Meadow Green,G177,Porcelain Blue,G177,Porcelain Blue,8fb7ab
GG24,Wispy Grey,GG020,Green Grey 02,,,,,c9cec9
GG25,Pilgrim Haze,GG040,Light Jade Green Grey,,,,,b2bfbb
BGY13,Seagull Grey,GG060,Green Grey 06,,,,,9aa4a9
GG03,Silver Cloud,GG1,Green Grey 1,GG010,Green Grey 010,GG010,Green Grey 010,ccdbd8
GG07,Steel Grey,GG110,Toner Grey,,,,,868a8d
GG05,Evergreen Fog,GG3,Green Grey 3,GG030,Green Grey 030,GG030,Green Grey 030,96a9a8
BGY15,Blue Steel Grey,GG5,Green Gray 5,GG080,Green Grey 080,,,8e9da2
BGY18,Graphite Grey,GG9,Green Grey 9,,,,,757c80
G49,Sour Apple,GY1,Pale Green,G284,Pale Green,G284,Pale Green,b3e187
G43,Vintage Pale Green,GY172,Spectrum Green,,,,,d6e6cc
E22,Lime Juice,GY173,Dim Green,,,,,f0e3c3
G410,Grass Green,GY2,Grass Green,G483,Grass Green,G483,Grass Green,91bb76
YG510,Bud Green,GY3,Bud Green,G479,Bud Green,G479,Bud Green,9bcd24
YG012,Yellow Green,GY4,Yellow Green,G289,Yellow Green,G289,Yellow Green,dae67f
YG015,Dark Olive,GY42,Bronze Green,G554,Bronze Green,G554,Bronze Green,88895d
YG414,Dark Fern Green,GY43,Deep Olive Green,G345,Deep Olive Green,G345,Deep Olive Green,6f8d70
YG211,Edamame,GY5,Absinthe,,,,,adb862
Y07,Banana Cream,GY6,Anise,,,,,fdf698
YG06,Sugarcane,GY7,Sugarcane,,,,,dae3a8
YG212,Guacamole,GY8,Petits Pois,G468,Petits Pois,G468,Petits Pois,9e945d
B21,Porcelain Blue,MG020,Blue Grey 02,,,,,e2eff4
B27,Fog Blue,MG030,Blue Grey 03,MG030,Blue Grey 030,,,bcd1e0
B311,Stone Blue,MG060,Blue Grey 06,MG060,Blue Grey 060,,,8fafc0
B412,Gunmetal Blue,MG100,Blue Grey 09,,,,,668492
CG25,Deep Grey,NG03,Neutral Grey 3,CG041,Neutral Grey 041,,,a1a7a9
GG16,Dark Anchor Grey,NG06,Neutral Grey 6,CG080,Neutral Grey 080,,,6c7177
GG15,Dark Neutral Grey,NG07,Neutral Grey 7,CG090,Neutral Grey 090,,,656970
BGY38,Charcoal Grey,NG09,Neutral Grey 9,CG140,Neutral Grey 140,,,55575d
RV314,Grape Juice,P1,Vivid Purple,RV968,Vivid Purple,RV968,Vivid Purple,ae0777
RV311,Pansy,P2,Light Violet,V567,Light Violet,V567,Light Violet,bc0fa1
V18,Bright Lavender,P3,Pastel Violet,V284,Pastel Violet,,,d293ce
V010,Faded Violet,P4,Lavender,V369,Lavender,V369,Lavender,a76ab7
V416,Deep Purple,P5,Aubergine,,,,,290069
BV38,Sky Blue,PB1,Sky Blue,B290,Sky Blue,B290,Sky Blue,80aaff
BG311,Turquoise,PB10,Turquoise Green Light,G477,Turquoise Green Light,G477,Turquoise Green Light,68d0b7
B315,Deep Cerulean,PB11,Marine Blue,B459,Marine Blue,B459,Marine Blue,457393
BV310,Brilliant Blue,PB2,Brilliant Blue,B575,Brilliant Blue,B575,Brilliant Blue,264fb3
BV314,Lapis Lazuli,PB3,Cobalt Blue,B659,Cobalt Blue,,,5176a7
BV315,Cobalt Blue,PB4,Napoleon Blue,B953,Napoleon Blue,B953,Napoleon Blue,43719b
BV514,Vintage Navy,PB5,Prussian Blue,B463,Prussian Blue,B463,Prussian Blue,59739b
B115,Classic Blue,PB6,Royal Blue,B956,Sapphire,B956,Sapphire,005297
B08,Cotton Candy Blue,PB7,Pastel Blue,B289,Pastel Blue,B289,Pastel Blue,82dcfa
B111,Pool Blue,PB8,Cerulean Blue,B883,Cerulean Blue,B883,Cerulean Blue,07a5d7
BG114,Faded Teal,PB9,Cloud Blue,,,,,409bae
YR54,Pink Frost,R030,Light Salmon Pink,R198,Light Salmon Pink,,,fad5cb
YR58,Pink Sand,R050,Chocolate Pink,R294,Chocolate Pink,,,fabdb2
R012,Fruit Punch,R070,Agate,,,,,e66661
YR43,Pale Cherry Pink,R080,Pale Cherry Pink,,,,,fcdbcf
YR56,Light Apricot Pink,R090,Light Tea Rose,,,,,f6c8bc
R210,Deep Blush,R1,Coral Pink ,R393,Coral Pink,R393,Coral Pink,ff6565
RV08,Pastel Pink,R10,Pastel Pink,RV210,Pastel Pink,,,ff91cd
R12,Pale Coral Pink,R100,Blush,,,,,fbd1ca
V13,Greyed Lavender,R11,Mauve Shadow,V891,Mauve Shadow,V891,Mauve Shadow,d9cee4
R15,Lychee Juice,R110,Sardonyx,R197,Sardonyx,,,f9bfbb
R46,Old Rose,R12,Rose Buvard,,,,,da8992
R27,Pink Satin,R120,Light Prawn,R296,Light Prawn,,,e690ab
BV29,Iris,R13,Clematis,,,,,6778ab
RV18,Sheer Peach,R14,Pale Purple,RV211,Pale Purple,,,f498b8
RV19,Dahlia Pink,R15,Cerise,RV398,Cerise,,,f38ebb
R112,Reddish Pink,R150,Zinnober,,,,,eb6f77
RV316,Grape Jelly,R16,Deep Violet,V651,Deep Violet,,,804e83
R410,Raspberry,R160,Cadmium Red,,,,,d96b7b
V216,Morning Glory,R17,Pansy,,,,,625ba8
R212,Mulberry,R170,Lipstick Red,,,,,bb5777
YR04,Pastel Peach,R18,Pastel Peach,E494,Pastel Peach,E494,Pastel Peach,fae1d0
R016,Chili Red,R180,Bright Red,,,,,af4545
YR33,Rose Cream,R19,Barely Beige,R196,Barely Beige,R196,Barely Beige,fadacb
R26,Valentine Pink,R190,Bougainvillaea,,,,,eea0b8
R014,Deep Vemilion,R2,Vermilion,R687,Vermillion,,,df3e35
YR34,Peach Cream,R20,Powder Pink,E194,Powder Pink,E194,Powder Pink,fac7b9
R48,Cherry Rose,R200,Coralessence,R490,Coral,,,e07488
R16,Light Salmon,R21,Fruit Pink,R193,Fruit Pink,,,f9c3c2
RV17,Pink,R22,Dark Blush,R295,Dark Blush,R295,Dark Blush,f6a6bd
R38,Rose Pink,R23,Rose Pink,RV390,Rose Pink,RV390,Rose Pink,e58ead
R211,Ruby,R230,Strong Red,,,,,b35773
V38,Deep Periwinkle,R24,Dark Violet Light,V189,Dark Violet Light,V189,Dark Violet Light,a7acd7
R59,Wine Berry,R240,Garnet,R468,Garnet,,,9c5e73
R50,Orchid Wisp,R242,Grayish Cherry,R495,Grayish Cherry,,,f8e5eb
BV26,Pale Blue Violet,R25,Pale Blue Violet,B281,Pale Blue Violet,B281,Pale Blue Violet,abb4db
R54,Lavender Fog,R250,Antique Fuchsia,R189,Antique Fuchsia,,,dfc2ce
E75,Light Rose Taupe,R26,Honey [Tonoimo],E190,Honey,E190,Honey,e3b2a9
E711,Old Mahogany,R27,Pale Mauve,E364,Pale Mauve,E364,Pale Mauve,a87e7a
R56,Puce,R270,Baby Blossoms,,,,,d1abb8
E814,Caput Mortuum,R28,Colocasia Tonoimo,E258,Colocasia Tonoimo,E258,Colocasia Tonoimo,826b6c
R57,Rose Dust,R280,Currant,R278,Currant,,,c0889e
R69,Dark Mauve,R282,Colocasia Tonorino,,,,,9e777e
E713,Red Bean,R284,Clove,,,,,976368
YR47,Dusty Peach,R29,Pear Color,R195,Pear Color,R195,Pear Color,f7c4b9
R513,Deep Wine,R290,Cardinal,R455,Cardinal,,,925b68
R015,Crimson,R3,Coral Red,R586,Coral Red,R586,Coral Red,b14f5a
E81,Spanish Pink,R30,Pale Cherry Pink,R192,Pinkish Vanilla,R192,Pinkish Vanilla,f6d5d2
R612,Raisin,R340,Argyle Purple,R247,Argyle Purple,,,81636e
R615,Black Grape,R350,Dark Purple Grey,,,,,6e6069
R412,Cerise,R4,Deep Red,R584,Coral Haze,,,ce5872
R413,Amaranth,R5,Cherry Pink,RV687,Cherry Pink,,,bf5b75
R213,Pomegranate,R6,Rose Red,RV783,Rose Red,RV783,Rose Red,b9576d
R514,Prune Juice,R7,Old Red,RV757,Old Red,RV757,Old Red,8f586c
R215,Morello Cherry,R8,Geranium,R865,Geranium,R865,Geranium,a4000a
R28,Pink Carnation,R9,Pastel Rose,R293,Pastel Rose,R293,Pastel Rose,ff7e9e
YGY02,Abalone Grey,RG030,Red Grey 03,,,,,e2dad4
YGY05,Dovetail Grey,RG050,Red Grey 05,,,,,baaeaf
WG08,Heathered Grape,RG080,Red Grey 08,RG080,Red Grey 080,,,8f878f
